#query	EC	reference GO
comp48_c0_seq1_FPKM_all:803.303_FPKM_rel:803.303_len:2651_path:[0].2	EC:5.2.1.8	GO:0003755
comp8019_c0_seq9_FPKM_all:10.434_FPKM_rel:10.434_len:419_path:[2850,5909,2964,5806,3226].1	EC:6.5.1.1	GO:0003910
comp8744_c0_seq4_FPKM_all:20.138_FPKM_rel:18.653_len:943_path:[1723,1868,1875,3445,2496].1	EC:1.3.3.6	GO:0003997
comp8970_c0_seq1_FPKM_all:22.322_FPKM_rel:22.322_len:1374_path:[0].1	EC:1.1.1	GO:0016616
comp9962_c0_seq4_FPKM_all:8.51_FPKM_rel:2.843_len:3592_path:[0,2136,2950,3235].1	EC:3.1.26.3	GO:0004525
comp9747_c0_seq2_FPKM_all:13.484_FPKM_rel:11.1_len:2077_path:[0,2055].1	EC:2.4.1	GO:0016758
comp37192_c0_seq1_FPKM_all:1.903_FPKM_rel:1.903_len:341_path:[0].1	EC:2.4.1.12	GO:0016760
comp34096_c0_seq1_FPKM_all:2.067_FPKM_rel:2.067_len:347_path:[0].1	EC:3.1.2.15	GO:0004221
comp11787_c0_seq1_FPKM_all:7.925_FPKM_rel:7.925_len:2504_path:[0].1	EC:4.3.1	GO:0016841
comp11305_c0_seq1_FPKM_all:9.034_FPKM_rel:5.77_len:586_path:[672,1823,851,1675,1160].1	EC:2.3.1.84	GO:0004026
comp6860_c0_seq4_FPKM_all:20.549_FPKM_rel:10.974_len:610_path:[1679,2075,648,667,1003,1019].1	EC:3	GO:0016787
comp7828_c0_seq2_FPKM_all:9.684_FPKM_rel:9.684_len:1178_path:[0,2864,591,1111,1158].1	EC:3.2.1	GO:0004553
comp7764_c0_seq1_FPKM_all:20.773_FPKM_rel:20.773_len:1340_path:[0,769].1	EC:1	GO:0016491
comp6540_c0_seq3_FPKM_all:22.316_FPKM_rel:5.662_len:3788_path:[0,2190,2509].3	EC:1	GO:0016491
comp6892_c0_seq3_FPKM_all:20.103_FPKM_rel:11.199_len:491_path:[582,716,732,1067].1	EC:3	GO:0016787
comp7793_c0_seq1_FPKM_all:22.214_FPKM_rel:11.241_len:2294_path:[0,464,521].2	EC:2.7.7.7	GO:0003887
comp5473_c0_seq1_FPKM_all:37.736_FPKM_rel:37.736_len:1974_path:[0].1	EC:4.1.1	GO:0016831
comp4221_c0_seq1_FPKM_all:40.257_FPKM_rel:40.257_len:2054_path:[0].1	EC:2.7.8	GO:0016780
comp4998_c0_seq1_FPKM_all:30.982_FPKM_rel:30.982_len:3747_path:[0,552].2	EC:3.6.1	GO:0016818
comp14607_c0_seq1_FPKM_all:6.016_FPKM_rel:6.016_len:1283_path:[0,1054].1	EC:4.3.3.2	GO:0016844
comp19152_c0_seq1_FPKM_all:4.536_FPKM_rel:4.536_len:497_path:[0].1	EC:1.1	GO:0016614
comp20310_c0_seq1_FPKM_all:2.856_FPKM_rel:2.856_len:849_path:[0].1	EC:2.7.4.6	GO:0004550
comp12981_c0_seq1_FPKM_all:10.872_FPKM_rel:10.872_len:622_path:[0].1	EC:1.1	GO:0016614
comp13516_c0_seq5_FPKM_all:4.996_FPKM_rel:3.364_len:335_path:[1021,1068,1156].1	EC:6.3.5	GO:0016884
comp13619_c0_seq2_FPKM_all:6.249_FPKM_rel:3.986_len:317_path:[508,722,725].1	EC:3.4.16	GO:0004185
comp12714_c0_seq2_FPKM_all:7.949_FPKM_rel:4.222_len:1796_path:[0,468].2	EC:6.3.1.2	GO:0004356
comp2174_c0_seq1_FPKM_all:78.669_FPKM_rel:78.669_len:3168_path:[0].2	EC:3.2.1	GO:0004553
comp3204_c0_seq1_FPKM_all:69.254_FPKM_rel:69.254_len:2601_path:[0].1	EC:3.1.27.9	GO:0000213
comp26125_c0_seq1_FPKM_all:2.982_FPKM_rel:2.982_len:378_path:[0].1	EC:1.3	GO:0016627
comp26477_c0_seq1_FPKM_all:3.328_FPKM_rel:3.328_len:626_path:[0].1	EC:3.2.1.2	GO:0016161
